Calories,Total Fat (g),Total Sugars (g),Carbohydrates (Carbs) (g),Protein (g),Cluster
317,38.9,14.6,57.4,33.4,1
645,0.9,19.5,80.6,48.7,0
162,36.3,20.3,32.6,12.5,1
784,23.2,40.5,68.6,36.6,2
216,36.8,23.6,35.3,31.0,1
117,8.5,34.6,18.4,17.7,1
604,5.9,23.1,71.7,0.7,0
178,22.8,9.2,13.5,40.2,1
375,39.1,22.0,3.5,41.9,2
214,1.4,4.6,80.5,22.6,0
732,7.1,46.2,27.6,31.2,2
550,6.6,9.5,33.4,8.1,0
161,27.6,18.8,8.8,25.1,1
714,11.2,11.2,65.1,17.3,0
146,28.3,41.2,5.1,35.8,2
562,14.2,5.3,2.9,11.4,1
128,15.8,22.7,91.1,14.3,0
618,6.8,28.8,28.1,10.1,0
443,25.3,30.7,95.0,13.3,0
257,30.0,11.9,91.2,45.0,0
600,35.3,34.6,38.9,14.3,2
383,28.0,20.9,10.7,43.6,2
416,29.7,49.0,77.4,17.9,2
624,7.4,44.9,9.0,37.2,2
508,20.9,45.6,73.3,45.3,2
221,6.3,10.7,15.6,34.1,1
489,24.9,3.3,96.0,43.7,0
59,32.9,12.8,52.1,40.3,1
391,38.8,26.5,96.9,49.0,2
62,18.5,7.6,67.6,2.9,1
768,35.4,42.2,91.1,0.7,0
131,14.8,38.9,27.6,40.7,2
703,23.3,2.9,42.7,6.2,1
180,38.3,19.5,76.4,39.5,1
792,21.2,37.0,84.5,1.3,0
249,13.7,36.6,61.8,44.7,0
725,8.5,31.8,59.3,22.2,0
236,4.3,18.7,84.0,17.9,0
268,23.2,14.0,0.2,36.2,2
243,24.0,19.8,55.8,16.9,1
563,19.5,26.4,56.5,6.0,1
644,13.5,32.8,26.9,16.9,2
658,27.6,43.7,15.7,31.3,2
574,5.1,29.4,87.8,30.6,0
455,28.2,34.9,86.9,12.2,1
366,34.4,11.3,30.5,43.6,2
102,16.9,27.8,88.0,33.4,0
629,17.1,47.7,20.1,1.2,2
614,1.3,11.5,50.2,13.0,0
775,1.4,48.8,94.3,28.0,0
117,32.9,6.9,90.1,0.4,1
422,1.3,20.8,23.7,44.5,0
562,31.1,40.6,83.4,21.4,2
635,31.1,29.1,31.4,46.5,2
612,17.7,22.8,62.1,3.6,0
540,4.7,48.9,25.3,25.5,2
395,6.4,33.6,38.1,10.5,0
766,9.0,20.9,30.4,14.8,0
195,33.4,14.7,67.7,12.7,1
557,25.5,22.0,20.4,18.2,2
191,15.2,25.8,92.5,24.0,0
459,6.3,3.9,77.6,7.0,0
534,15.9,26.9,45.6,24.0,0
644,29.4,28.5,9.1,17.5,2
395,18.1,38.2,65.2,6.9,1
752,38.5,33.5,27.7,22.5,2
722,26.0,29.1,47.8,32.2,2
774,36.9,33.0,72.8,10.6,2
734,8.2,8.7,78.9,33.9,0
789,13.6,14.6,78.5,31.5,0
246,39.7,22.4,16.6,35.8,2
142,19.6,1.6,93.4,6.3,1
719,33.5,6.7,93.2,11.8,1
766,13.8,27.0,19.2,40.1,2
729,20.0,6.9,11.9,24.3,2
334,27.0,37.9,84.2,46.3,2
586,16.5,44.0,21.9,5.0,2
556,36.3,14.4,49.3,23.6,1
164,28.0,25.4,4.8,29.8,1
691,23.2,42.9,31.3,34.6,2
765,3.6,2.5,68.3,45.4,0
534,18.2,21.3,27.1,1.7,1
423,30.6,37.1,35.7,11.9,1
154,30.6,34.8,50.6,44.7,2
714,26.6,39.8,67.5,36.3,2
174,15.5,22.9,48.7,45.8,2
85,5.1,36.2,6.0,49.5,2
146,39.9,40.7,79.2,17.1,1
437,16.8,5.6,87.7,33.5,0
404,8.4,32.9,94.6,38.5,0
300,17.3,42.9,72.3,3.8,1
775,11.7,3.3,48.7,13.8,0
442,34.0,1.5,57.9,30.0,1
718,5.4,27.8,65.2,42.2,0
544,24.4,10.1,76.0,26.0,0
72,19.4,12.5,100.0,4.2,1
430,38.7,28.6,64.7,4.8,1
404,38.3,46.7,56.5,30.1,2
369,13.2,11.4,12.8,6.2,1
187,21.7,42.5,22.7,13.4,1
393,34.5,11.2,10.7,32.1,1
748,30.6,12.8,50.2,49.1,2
674,25.1,18.8,50.2,33.9,2
58,27.8,12.4,0.6,16.9,1
310,10.2,37.1,27.1,38.2,2
332,30.3,24.3,38.3,32.7,2
717,6.1,15.4,54.3,10.3,0
258,32.3,6.0,30.5,43.0,1
552,23.1,42.1,29.2,34.7,2
290,15.8,2.9,88.3,33.0,0
137,6.4,0.7,17.8,25.3,1
793,20.5,32.4,71.2,9.3,0
329,18.6,25.0,64.4,35.8,0
416,19.3,27.9,51.5,2.4,1
315,4.4,0.2,38.7,21.4,0
106,16.3,1.4,77.6,22.3,1
612,26.1,40.4,95.7,34.3,0
736,13.6,21.1,4.9,27.5,2
182,30.8,5.1,23.6,47.0,1
614,33.1,13.7,57.7,11.7,1
437,12.2,10.9,10.8,39.3,2
607,20.6,15.2,78.2,22.3,0
726,39.4,46.0,11.7,12.2,2
323,9.8,9.2,26.9,7.8,1
726,36.1,13.2,95.7,8.7,1
179,18.7,33.2,49.1,21.2,1
232,5.3,1.1,2.3,1.6,1
648,29.7,0.5,44.1,3.6,1
276,30.8,32.1,9.9,25.0,2
159,39.4,9.4,86.1,26.7,1
59,31.9,28.2,48.2,45.0,2
353,39.3,2.7,65.8,10.7,1
100,32.4,7.8,76.3,15.1,1
174,20.9,13.9,67.0,32.9,1
102,19.8,15.3,23.1,13.8,1
353,3.4,46.3,86.7,47.8,0
760,19.1,47.0,93.3,26.5,0
649,16.3,13.4,28.7,9.4,1
290,17.3,15.4,73.6,34.4,0
582,9.5,0.7,85.1,30.7,0
389,29.9,33.9,39.8,44.3,2
275,7.4,41.4,93.3,6.3,0
55,24.2,35.9,61.2,46.7,2
657,17.7,0.9,24.0,12.4,1
458,28.6,19.8,35.1,37.4,2
505,33.7,40.3,61.3,39.7,2
296,6.6,5.4,83.5,46.2,0
735,0.9,46.1,67.9,15.2,0
606,9.1,15.4,99.9,15.8,0
118,34.6,12.1,26.9,0.9,1
675,6.0,45.0,10.5,13.8,2
118,25.7,23.2,11.0,45.8,2
378,10.8,14.1,97.1,39.0,0
454,34.1,18.7,41.9,23.2,1
794,2.7,34.4,37.8,10.1,0
256,23.7,37.8,85.5,23.4,0
274,23.9,32.6,97.5,24.3,0
132,20.1,48.7,88.4,16.8,0
344,22.9,9.5,92.2,36.9,0
401,17.4,1.8,59.4,14.1,1
281,28.4,43.6,98.3,1.6,1
111,9.7,29.4,75.9,13.9,0
344,37.3,49.7,28.8,15.7,2
664,30.3,21.7,89.0,10.3,0
392,32.0,44.4,15.4,17.5,2
661,1.2,3.7,51.3,19.6,0
640,27.9,31.7,23.7,38.0,2
201,4.6,47.4,97.0,3.9,0
790,6.1,4.7,94.8,29.8,0
123,15.3,35.7,92.7,2.9,1
749,22.2,45.3,24.9,5.7,2
430,39.4,25.0,48.0,1.6,1
304,12.1,9.7,37.4,29.5,1
449,13.3,43.1,16.0,21.3,2
438,16.0,25.8,45.6,4.9,1
101,32.7,29.7,41.7,40.8,2
767,28.7,5.5,66.6,24.7,0
446,0.5,7.8,67.1,7.8,0
794,22.5,35.3,25.0,43.8,2
102,11.7,43.1,61.8,17.9,0
271,1.3,31.9,46.7,43.0,0
78,20.1,10.1,28.4,34.5,1
685,27.7,46.8,53.1,17.6,2
358,28.2,40.9,38.8,18.5,2
687,34.7,16.7,18.9,47.2,2
235,12.5,0.9,20.3,31.2,1
456,11.8,18.4,49.3,40.7,0
615,14.3,18.3,14.9,21.9,2
649,9.1,20.0,92.0,19.0,0
383,32.7,27.3,68.3,46.9,2
479,11.4,2.3,18.7,29.5,1
785,24.1,46.1,53.8,46.5,2
264,12.3,21.8,89.3,20.6,0
235,25.1,27.6,86.3,1.5,1
584,26.6,4.4,65.0,5.1,1
769,9.6,23.2,13.2,35.4,2
696,10.9,1.3,79.3,39.7,0
293,12.6,2.5,57.7,32.6,0
741,5.8,24.4,90.8,22.4,0
119,4.2,29.9,65.7,24.6,0
151,9.3,0.3,85.1,21.2,0
703,29.4,4.8,95.0,43.4,0
253,19.0,42.2,56.5,26.7,2
188,28.4,33.2,92.9,19.2,1
602,37.3,33.5,70.2,5.8,1
51,33.9,21.6,41.9,20.6,1
431,22.0,20.9,25.8,12.5,1
409,22.9,49.8,61.3,3.1,1
514,28.1,8.3,82.5,27.8,0
462,27.6,28.8,24.5,6.2,1
175,23.7,34.6,58.9,14.2,1
456,2.7,26.3,2.6,47.6,2
538,27.5,2.0,54.7,48.1,2
730,33.0,19.4,16.3,39.0,2
93,25.7,42.0,44.1,45.6,2
496,24.6,49.6,80.1,2.3,0
110,4.2,43.3,30.2,41.2,2
358,17.7,16.9,89.0,6.6,0
494,1.9,44.7,41.2,28.8,0
682,33.2,31.4,65.5,15.8,2
749,32.4,31.1,40.1,4.3,2
554,35.9,17.0,17.4,7.9,1
374,13.5,44.2,39.4,34.3,2
366,1.9,7.8,80.4,7.8,0
278,1.7,17.0,1.4,29.5,2
613,14.9,8.8,83.9,20.9,0
518,5.1,13.3,50.1,42.3,0
103,36.8,45.6,3.4,2.7,1
288,3.0,44.9,55.8,37.4,0
589,38.9,44.5,30.3,13.0,2
788,19.4,8.2,39.4,22.9,0
448,39.6,23.3,37.5,19.2,1
142,24.4,18.5,39.5,15.8,1
394,36.9,13.8,27.6,41.7,2
777,32.6,38.7,4.9,39.9,2
405,11.7,12.2,66.3,22.2,0
422,21.4,19.9,94.3,7.2,0
162,26.7,32.7,96.0,22.5,1
534,3.4,4.1,8.8,44.2,2
65,21.5,33.7,78.0,26.1,1
630,31.7,35.8,10.2,27.9,2
746,35.2,18.4,88.8,25.8,0
592,21.3,27.8,88.2,49.1,0
790,3.6,44.4,54.8,43.0,0
535,3.5,3.4,96.7,37.1,0
183,33.9,7.3,61.4,31.6,1
98,22.1,47.4,37.1,41.9,2
682,32.0,3.6,40.6,49.3,2
74,37.6,46.4,94.3,11.1,1
191,38.2,12.2,10.2,27.9,1
447,13.6,34.7,58.7,47.5,2
241,3.9,42.5,1.4,18.6,2
737,20.3,16.4,66.2,18.5,0
547,39.6,39.4,93.0,33.0,2
591,4.7,14.0,4.8,28.9,2
561,12.9,45.3,81.3,13.5,0
463,17.8,42.2,44.8,46.7,2
553,33.0,26.9,8.2,35.2,2
305,31.1,35.9,71.2,47.6,2
689,29.4,2.9,92.2,14.7,0
586,0.3,1.7,17.1,4.7,1
559,9.8,23.7,22.1,3.5,1
239,18.9,19.8,20.8,24.1,1
760,3.4,16.7,94.1,39.9,0
245,7.8,36.8,92.1,42.3,0
684,24.5,21.1,93.0,19.5,0
561,17.6,42.8,88.9,32.6,0
193,32.7,21.8,6.5,30.5,1
87,31.3,2.3,55.3,46.4,1
187,6.1,17.2,17.7,5.5,1
78,34.7,23.9,80.3,26.2,1
762,19.8,13.4,21.6,21.6,2
598,1.3,11.9,86.4,22.8,0
221,18.0,15.2,7.7,18.4,1
710,33.9,40.0,54.5,28.7,2
666,31.4,21.1,44.4,46.4,2
535,39.4,14.2,5.0,31.1,2
606,3.7,19.5,75.0,44.5,0
709,22.2,17.7,76.1,11.4,0
442,31.8,13.8,15.4,8.4,1
354,39.0,48.5,96.1,20.0,2
736,19.9,38.4,28.6,36.7,2
479,34.2,35.3,24.8,30.3,2
383,38.8,1.6,14.1,9.9,1
561,18.2,37.5,33.4,18.3,2
307,16.3,26.2,59.9,17.1,1
745,39.8,23.5,10.0,15.2,2
183,23.4,4.3,6.4,9.7,1
360,10.6,41.7,84.6,44.9,0
548,2.3,35.7,47.5,40.6,0
122,34.9,14.4,77.5,2.5,1
333,19.2,25.6,49.6,27.0,1
285,34.0,10.2,8.7,41.1,2
722,24.0,2.9,23.7,12.3,1
369,13.3,7.0,68.8,1.6,1
660,29.1,42.6,64.2,13.6,2
487,33.1,25.9,84.5,4.7,1
304,0.9,10.3,4.2,18.2,1
378,7.0,3.3,34.1,48.7,0
309,17.6,19.5,29.3,12.4,1
793,4.3,2.1,79.8,37.3,0
388,6.7,45.8,20.3,11.3,2
458,13.5,7.0,70.0,26.9,0
561,16.1,13.0,61.7,35.0,0
152,14.4,15.9,44.9,0.7,1
349,22.0,10.6,71.9,1.3,1
90,37.5,25.9,41.3,37.6,1
271,5.9,39.6,48.6,23.1,0
622,18.8,5.4,51.6,15.0,1
322,30.1,12.8,93.5,42.9,0
554,8.2,1.1,41.1,17.2,0
141,21.8,12.8,77.2,39.8,0
701,30.0,35.2,46.4,22.3,2
291,23.2,46.1,10.7,48.3,2
618,13.4,30.2,5.4,40.6,2
366,16.4,42.6,51.2,22.1,2
163,38.9,28.5,67.3,30.2,1
471,24.2,17.0,98.7,27.7,0
160,15.1,25.3,16.0,32.3,2
673,12.0,4.8,37.9,0.2,1
128,3.6,20.8,6.5,26.6,1
749,15.3,25.0,5.7,29.4,2
265,18.6,21.0,2.5,23.8,1
73,12.0,16.2,84.3,19.5,0
702,3.9,13.1,6.3,47.0,2
182,10.2,1.5,66.9,25.0,0
610,4.8,28.4,51.4,30.7,0
546,28.7,45.9,48.3,39.7,2
597,14.8,5.3,97.4,26.1,0
189,18.5,34.5,23.2,20.3,1
404,8.6,8.3,88.8,8.9,0
58,22.2,49.1,31.8,29.3,2
420,10.2,39.5,80.5,27.7,0
231,2.0,9.2,99.0,26.8,0
755,12.0,44.7,92.8,19.0,0
337,28.9,42.3,68.5,6.3,1
140,18.2,26.5,99.9,7.4,1
111,30.5,44.1,78.6,41.2,2
172,11.9,49.4,73.8,35.3,0
715,12.6,10.8,0.7,33.3,2
77,6.6,48.8,98.0,7.1,0
371,34.9,30.1,79.6,23.4,1
327,14.2,46.4,7.0,10.2,2
537,38.2,2.5,53.3,49.2,2
398,11.2,28.9,80.5,37.5,0
778,20.7,10.2,99.4,8.1,0
675,8.5,4.8,90.9,35.9,0
442,3.4,8.2,2.4,37.8,2
480,8.5,18.2,69.4,48.6,0
487,22.1,31.6,89.3,18.2,0
629,17.6,28.3,12.0,24.8,2
359,29.0,5.8,66.7,31.5,1
368,21.7,14.7,71.2,28.5,0
285,2.2,14.1,5.6,26.4,1
662,22.1,33.9,44.6,37.3,2
126,14.5,7.6,82.8,37.2,0
78,18.9,43.6,40.8,45.4,2
763,31.7,32.6,4.4,11.2,2
602,6.9,21.3,69.4,32.1,0
207,12.6,4.1,93.0,14.0,0
209,27.9,18.4,68.4,47.1,2
674,0.9,39.7,64.7,13.5,0
150,11.7,35.0,58.9,34.0,0
155,31.0,22.3,80.8,41.4,1
517,39.1,23.0,58.2,25.3,1
445,11.0,10.5,46.7,44.4,0
293,30.6,42.4,89.8,46.7,2
586,19.2,17.4,1.6,41.4,2
758,29.4,20.2,83.0,24.1,0
481,34.7,41.1,35.0,4.3,1
751,35.0,10.0,70.1,27.2,1
226,36.0,14.1,81.4,7.2,1
508,5.7,28.8,28.7,43.7,2
424,34.5,36.8,2.9,22.2,2
387,15.7,39.6,79.4,23.7,0
764,22.3,2.4,10.4,32.3,2
79,8.4,28.1,2.7,0.7,1
362,16.3,27.9,80.6,0.6,1
721,4.4,41.2,54.6,10.7,0
296,9.6,28.3,4.4,43.4,2
283,3.3,10.2,41.1,27.6,0
285,23.5,39.4,19.4,28.3,2
774,26.1,28.8,26.5,34.9,2
753,25.5,27.6,47.8,36.0,2
140,25.6,25.5,90.0,23.7,1
366,39.5,30.3,76.0,37.0,2
455,28.3,8.7,14.0,38.1,2
623,35.0,45.7,93.6,42.0,2
514,3.3,23.6,67.0,18.8,0
560,6.1,34.8,6.2,10.3,2
223,19.9,44.4,70.8,17.0,1
436,17.0,26.0,75.8,42.2,0
405,11.9,4.6,21.9,23.1,1
421,1.1,5.2,45.9,16.1,0
117,28.4,34.3,18.9,9.5,1
544,0.5,37.4,0.8,35.1,2
714,37.1,44.1,53.2,34.6,2
266,38.1,26.7,1.5,6.0,1
626,23.9,40.9,50.6,40.0,2
80,11.9,48.3,71.6,15.8,0
667,25.6,36.7,39.3,4.4,2
358,18.8,46.4,93.3,8.3,0
430,4.0,15.4,74.4,33.5,0
477,29.4,37.8,63.7,39.5,2
780,37.4,48.9,67.1,35.6,2
615,22.3,23.2,46.3,18.9,2
501,2.1,31.9,48.2,27.9,0
90,0.3,24.4,65.6,0.5,1
504,0.5,3.4,94.2,0.7,0
663,33.0,27.2,98.2,46.7,0
349,8.3,9.0,50.1,26.5,0
545,1.8,13.7,15.6,29.7,0
714,26.1,18.0,0.1,23.0,2
208,21.5,45.2,33.9,48.2,2
544,30.2,45.9,88.7,1.3,1
512,6.0,17.7,57.2,33.9,0
639,31.8,5.7,45.2,35.8,2
240,24.3,46.0,39.0,40.6,2
146,17.4,26.4,94.5,11.1,1
409,31.2,34.7,23.9,0.7,1
59,32.7,13.3,86.8,48.1,1
146,38.6,33.5,12.8,3.3,1
120,27.6,5.5,58.4,43.3,1
758,9.2,13.5,37.1,26.7,0
768,14.3,0.7,40.4,7.2,1
456,28.2,34.3,38.2,30.7,2
557,11.1,10.7,90.8,27.9,0
790,2.8,8.2,72.0,3.9,0
443,1.3,7.9,40.2,12.7,0
310,22.9,38.5,73.3,28.4,0
589,22.3,33.0,34.3,5.7,1
220,29.0,22.3,22.7,1.4,1
754,39.2,39.1,1.7,39.5,2
706,16.5,31.8,16.2,19.9,2
89,5.9,46.0,62.6,5.1,0
376,5.5,39.8,65.4,20.3,0
404,8.7,47.7,23.9,20.1,2
497,16.3,0.6,78.7,25.8,0
551,38.1,45.9,32.3,14.2,2
286,32.1,48.0,44.8,31.9,2
138,30.1,33.2,73.6,5.4,1
262,28.8,21.9,68.5,49.8,2
356,8.8,26.5,73.4,30.7,0
486,4.9,40.7,50.0,6.8,0
348,9.8,1.2,56.2,15.5,1
771,3.0,35.0,42.9,10.3,0
449,6.5,16.9,5.4,0.5,1
407,19.5,17.8,49.0,42.7,2
605,2.8,2.9,80.5,10.9,0
388,11.9,33.1,39.3,11.1,1
156,22.3,43.9,62.3,32.5,2
83,23.7,3.5,59.0,37.3,1
302,36.7,23.6,72.0,10.3,1
275,7.4,1.5,0.2,39.2,1
339,16.4,48.3,22.2,43.2,2
356,3.5,49.9,5.7,26.4,2
117,26.4,30.9,22.7,23.5,1
137,32.9,22.5,43.3,40.1,1
114,3.6,33.4,15.8,11.9,1
589,3.4,47.6,39.8,18.9,0
183,25.0,23.3,73.2,13.6,1
507,39.2,11.4,13.6,19.1,1
784,27.2,9.7,6.2,5.8,1
343,23.1,15.5,89.5,11.9,1
615,9.1,42.4,87.0,49.1,0
561,8.0,15.5,71.8,44.9,0
228,1.9,7.5,60.4,2.4,1
490,28.1,7.9,41.6,7.8,1
504,16.5,30.9,62.7,14.9,0
134,25.9,48.2,41.5,5.5,1
790,32.9,35.5,70.7,31.8,2
471,15.8,42.1,61.7,13.0,0
596,33.4,20.6,15.8,7.3,1
166,32.5,30.5,64.7,40.9,2
346,12.6,2.2,24.4,41.9,1
514,21.8,28.5,14.3,33.9,2
363,6.7,13.6,36.8,25.1,0
377,7.8,45.0,11.6,41.4,2
787,35.3,31.2,92.5,44.4,2
611,39.3,22.5,5.7,17.1,2
798,21.6,23.5,26.5,39.6,2
290,36.9,18.3,49.2,47.3,2
792,0.9,40.9,38.0,14.0,0
452,7.2,4.9,82.4,9.6,0
761,3.1,49.0,57.3,19.1,0
130,21.7,24.4,4.5,41.2,2
506,37.2,36.0,43.8,23.5,2
614,15.9,37.2,18.6,46.5,2
93,24.6,18.7,41.1,0.7,1
294,1.3,20.7,41.0,7.7,0
246,20.7,24.0,28.0,1.0,1
421,35.2,17.4,38.9,42.2,2
287,26.0,32.0,79.4,3.6,1
261,19.2,3.7,17.7,2.5,1
211,2.3,3.3,28.2,35.9,0
229,30.5,0.7,19.9,36.9,1
375,36.7,24.3,47.9,48.0,2
783,25.2,17.0,65.1,46.9,2
684,32.2,4.7,19.5,28.2,2
519,28.8,41.1,26.5,31.1,2
649,10.4,24.2,49.5,21.5,0
778,4.9,44.8,16.6,24.5,2
379,8.2,37.5,4.6,6.7,2
233,34.7,19.2,90.8,3.2,1
574,37.3,17.7,84.1,42.8,2
493,23.0,15.0,45.0,9.9,1
728,22.5,45.0,62.4,41.2,2
671,3.6,35.4,18.0,38.5,2
363,0.4,13.2,70.4,26.4,0
90,26.9,28.8,87.4,37.3,1
566,14.2,37.4,82.6,3.3,0
232,20.3,46.5,64.0,15.2,1
162,37.6,38.5,20.8,5.1,1
326,31.8,29.6,46.5,35.1,2
319,0.5,20.6,69.0,46.1,0
303,20.6,29.7,89.4,9.9,0
606,15.5,25.2,40.9,17.5,0
744,20.1,9.2,64.1,18.4,0
178,22.2,37.8,25.7,23.6,2
269,5.4,37.0,17.7,24.5,2
220,23.4,1.1,12.0,13.3,1
395,29.6,4.5,15.8,18.7,1
567,29.7,22.7,43.4,9.7,1
397,31.9,4.4,32.9,14.8,1
689,29.7,27.7,99.2,16.4,0
376,11.2,44.1,17.4,27.9,2
460,2.0,6.7,15.0,29.6,0
730,8.2,35.6,5.4,4.1,2
554,18.8,15.6,1.3,33.0,2
334,16.0,39.7,50.7,35.7,2
368,36.6,44.9,24.0,19.8,2
455,34.0,42.9,5.5,41.8,2
249,3.6,38.2,69.5,30.4,0
632,32.4,6.6,5.5,8.9,1
629,11.5,39.0,24.1,46.6,2
668,25.2,36.3,14.4,21.8,2
636,27.4,3.0,24.6,34.2,2
431,31.7,32.2,12.2,48.3,2
345,21.1,48.0,7.3,40.1,2
611,4.6,12.9,24.5,20.9,0
722,39.4,37.2,18.2,32.7,2
177,5.6,2.6,66.3,4.9,1
397,7.2,30.2,37.5,43.3,2
412,19.0,25.3,50.7,43.0,2
545,29.5,17.2,87.9,49.5,0
656,5.8,16.5,58.0,10.0,0
445,21.9,2.9,96.2,29.1,0
719,9.8,44.3,79.5,25.3,0
78,15.5,26.5,11.5,30.2,1
520,27.5,39.6,34.0,26.8,2
237,33.9,43.8,66.9,43.3,2
69,4.8,30.6,69.0,12.2,0
348,1.2,21.8,32.4,33.4,0
766,27.8,9.9,17.8,22.5,2
366,2.3,11.7,93.5,34.1,0
147,2.5,32.9,56.9,6.6,0
303,28.1,16.3,59.6,12.0,1
198,0.6,42.6,88.7,40.4,0
499,2.0,15.7,90.7,11.8,0
124,18.9,14.1,20.5,33.6,1
411,3.6,42.4,38.8,45.3,2
123,11.7,4.9,85.4,48.8,0
110,17.7,11.6,36.7,1.0,1
553,34.3,49.6,63.2,12.3,2
791,7.7,13.7,59.4,1.7,0
104,26.7,27.5,97.3,18.5,1
144,21.1,38.7,85.6,43.1,0
334,37.0,13.0,33.0,46.9,2
160,38.2,43.5,1.3,8.5,1
631,29.1,3.0,85.5,34.5,0
668,38.9,38.4,77.7,43.0,2
96,16.0,2.7,98.9,40.9,0
122,9.9,44.8,42.7,12.2,1
471,23.6,36.5,80.1,33.2,0
54,12.2,19.8,24.2,1.9,1
795,36.5,0.8,97.6,45.8,0
328,18.2,29.9,33.2,33.6,2
157,6.5,8.8,88.2,49.8,0
57,2.2,23.0,9.0,26.1,1
